time,open,high,low,close,Volume,Volume MA
3/5/2008,68.51,68.51,68.51,68.51,NaN,NaN
3/6/2008,74.53,74.53,74.53,74.53,NaN,NaN
3/7/2008,76.02,76.02,76.02,76.02,NaN,NaN
3/10/2008,77.45,77.45,77.45,77.45,NaN,NaN
3/11/2008,73.76,73.76,73.76,73.76,NaN,NaN
3/12/2008,73.94,73.94,73.94,73.94,NaN,NaN
3/13/2008,75.56,75.56,75.56,75.56,NaN,NaN
3/14/2008,80.99,80.99,80.99,80.99,NaN,NaN
3/17/2008,80.71,80.71,80.71,80.71,NaN,NaN
3/18/2008,72.97,72.97,72.97,72.97,NaN,NaN
3/19/2008,70.5,70.5,70.5,70.5,NaN,NaN
3/20/2008,66.97,66.97,66.97,66.97,NaN,NaN
3/24/2008,68.82,68.82,68.82,68.82,NaN,NaN
3/25/2008,68.65,68.65,68.65,68.65,NaN,NaN
3/26/2008,69.56,69.56,69.56,69.56,NaN,NaN
3/27/2008,69,69,69,69,NaN,NaN
3/28/2008,68.79,68.79,68.79,68.79,NaN,NaN
3/31/2008,67.64,67.64,67.64,67.64,NaN,NaN
4/1/2008,66.96,66.96,66.96,66.96,NaN,NaN
4/2/2008,67.61,67.61,67.61,67.61,NaN,NaN
4/3/2008,66.11,66.11,66.11,66.11,NaN,NaN
4/4/2008,64.56,64.56,64.56,64.56,NaN,NaN
4/7/2008,67.4,67.4,67.4,67.4,NaN,NaN
4/8/2008,67.3,67.3,67.3,67.3,NaN,NaN
4/9/2008,75.24,75.24,75.24,75.24,NaN,NaN
4/10/2008,75.47,75.47,75.47,75.47,NaN,NaN
4/11/2008,74.74,74.74,74.74,74.74,NaN,NaN
4/14/2008,72.39,72.39,72.39,72.39,NaN,NaN
4/15/2008,68.15,68.15,68.15,68.15,NaN,NaN
4/16/2008,66.36,66.36,66.36,66.36,NaN,NaN
4/17/2008,65.09,65.09,65.09,65.09,NaN,NaN
4/18/2008,62.09,62.09,62.09,62.09,NaN,NaN
4/21/2008,63.43,63.43,63.43,63.43,NaN,NaN
4/22/2008,62.84,62.84,62.84,62.84,NaN,NaN
4/23/2008,59.74,59.74,59.74,59.74,NaN,NaN
4/24/2008,62.75,62.75,62.75,62.75,NaN,NaN
4/25/2008,65.99,65.99,65.99,65.99,NaN,NaN
4/28/2008,66.48,66.48,66.48,66.48,NaN,NaN
4/29/2008,65.42,65.42,65.42,65.42,NaN,NaN
4/30/2008,64.69,64.69,64.69,64.69,NaN,NaN
5/1/2008,63.06,63.06,63.06,63.06,NaN,NaN
5/2/2008,63.68,63.68,63.68,63.68,NaN,NaN
5/5/2008,70.1,70.1,70.1,70.1,NaN,NaN
5/6/2008,69.04,69.04,69.04,69.04,NaN,NaN
5/7/2008,72.82,72.82,72.82,72.82,NaN,NaN
5/8/2008,73.45,73.45,73.45,73.45,NaN,NaN
5/9/2008,73.79,73.79,73.79,73.79,NaN,NaN
5/12/2008,72,72,72,72,NaN,NaN
5/13/2008,68.62,68.62,68.62,68.62,NaN,NaN
5/14/2008,71.18,71.18,71.18,71.18,NaN,NaN
5/15/2008,71.16,71.16,71.16,71.16,NaN,NaN
5/16/2008,75.77,75.77,75.77,75.77,NaN,NaN
5/19/2008,76.63,76.63,76.63,76.63,NaN,NaN
5/20/2008,79.8,79.8,79.8,79.8,NaN,NaN
5/21/2008,80.12,80.12,80.12,80.12,NaN,NaN
5/22/2008,83.62,83.62,83.62,83.62,NaN,NaN
5/23/2008,79.63,79.63,79.63,79.63,NaN,NaN
5/27/2008,79.35,79.35,79.35,79.35,NaN,NaN
5/28/2008,77.7,77.7,77.7,77.7,NaN,NaN
5/29/2008,74.2,74.2,74.2,74.2,NaN,NaN
5/30/2008,73.46,73.46,73.46,73.46,NaN,NaN
6/2/2008,78.6,78.6,78.6,78.6,NaN,NaN
6/3/2008,79.72,79.72,79.72,79.72,NaN,NaN
6/4/2008,81.04,81.04,81.04,81.04,NaN,NaN
6/5/2008,79.35,79.35,79.35,79.35,NaN,NaN
6/6/2008,88.78,88.78,88.78,88.78,NaN,NaN
6/9/2008,92.23,92.23,92.23,92.23,NaN,NaN
6/10/2008,91.98,91.98,91.98,91.98,NaN,NaN
6/11/2008,93.87,93.87,93.87,93.87,NaN,NaN
6/12/2008,92.41,92.41,92.41,92.41,NaN,NaN
6/13/2008,86.91,86.91,86.91,86.91,NaN,NaN
6/16/2008,84.17,84.17,84.17,84.17,NaN,NaN
6/17/2008,80.89,80.89,80.89,80.89,NaN,NaN
6/18/2008,81.56,81.56,81.56,81.56,NaN,NaN
6/19/2008,77.91,77.91,77.91,77.91,NaN,NaN
6/20/2008,78.35,78.35,78.35,78.35,NaN,NaN
6/23/2008,78.37,78.37,78.37,78.37,NaN,NaN
6/24/2008,77.41,77.41,77.41,77.41,NaN,NaN
6/25/2008,76.01,76.01,76.01,76.01,NaN,NaN
6/26/2008,79.87,79.87,79.87,79.87,NaN,NaN
6/27/2008,79.54,79.54,79.54,79.54,NaN,NaN
6/30/2008,79.66,79.66,79.66,79.66,NaN,NaN
7/1/2008,79.44,79.44,79.44,79.44,NaN,NaN
7/2/2008,79.19,79.19,79.19,79.19,NaN,NaN
7/3/2008,76.44,76.44,76.44,76.44,NaN,NaN
7/7/2008,75.43,75.43,75.43,75.43,NaN,NaN
7/8/2008,76.03,76.03,76.03,76.03,NaN,NaN
7/9/2008,81.69,81.69,81.69,81.69,NaN,NaN
7/10/2008,79.94,79.94,79.94,79.94,NaN,NaN
