time,open,high,low,close,Volume,Volume MA
2012-02-10,0.631,1.293,0.631,1.009,NaN,NaN
2012-02-13,1.982,2.828,1.163,1.168,NaN,NaN
2012-02-14,0.623,1.268,0.623,1.125,NaN,NaN
2012-02-15,3.497,3.497,1.189,1.288,NaN,NaN
2012-02-16,1.388,1.894,1.198,1.254,NaN,NaN
2012-02-17,0.645,1.324,0.645,0.927,NaN,NaN
2012-02-21,0.837,1.971,0.832,1.02,NaN,NaN
2012-02-22,1.771,2.217,0.588,1.089,NaN,NaN
2012-02-23,0.827,1.408,0.797,1.142,NaN,NaN
2012-02-24,1.629,2.356,1.401,1.475,NaN,NaN
2012-02-27,1.355,1.4,0.847,0.899,NaN,NaN
2012-02-28,0.798,1.279,0.709,0.892,NaN,NaN
2012-02-29,1.161,2.085,1.127,1.561,NaN,NaN
2012-03-01,1.016,1.438,0.958,1.403,NaN,NaN
2012-03-02,0.814,1.371,0.725,1.093,NaN,NaN
2012-03-05,0.744,1.438,0.744,1.096,NaN,NaN
2012-03-06,1.036,1.293,0.989,1.21,NaN,NaN
2012-03-07,0.906,1.476,0.872,1.295,NaN,NaN
2012-03-08,0.642,0.997,0.574,0.887,NaN,NaN
2012-03-09,0.718,1.249,0.718,1.156,NaN,NaN
2012-03-12,1.207,1.207,0.839,1.018,NaN,NaN
2012-03-13,0.812,1.401,0.797,1.045,NaN,NaN
2012-03-14,0.427,0.701,0.375,0.668,NaN,NaN
2012-03-15,0.447,0.736,0.401,0.736,NaN,NaN
2012-03-16,0.6,1.102,0.562,1.059,NaN,NaN
2012-03-19,0.595,0.823,0.441,0.823,NaN,NaN
2012-03-20,0.748,1.067,0.453,1.016,NaN,NaN
2012-03-21,2.543,2.543,1.15,1.154,NaN,NaN
2012-03-22,0.854,1.428,0.82,1.426,NaN,NaN
2012-03-23,0.465,1.305,0.465,1.296,NaN,NaN
2012-03-26,0.575,1.435,0.575,1.269,NaN,NaN
2012-03-27,1.47,1.536,1.034,1.401,NaN,NaN
2012-03-28,0.98,2.043,0.568,1.369,NaN,NaN
2012-03-29,1.366,1.593,0.969,1.176,NaN,NaN
2012-03-30,1.004,1.295,0.883,1.152,NaN,NaN
2012-04-02,1.399,1.458,0.908,1.074,NaN,NaN
2012-04-03,0.612,1.538,0.596,1.354,NaN,NaN
2012-04-04,1.08,1.424,0.74,1.135,NaN,NaN
2012-04-05,1.066,1.577,0.902,1.215,NaN,NaN
2012-04-09,0.924,1.406,0.87,1.405,NaN,NaN
2012-04-10,0.877,1.155,0.853,0.996,NaN,NaN
2012-04-11,0.618,1.32,0.594,1.03,NaN,NaN
2012-04-12,0.806,1.635,0.735,0.95,NaN,NaN
2012-04-13,1.021,1.348,0.845,0.96,NaN,NaN
2012-04-16,1.165,1.768,1.092,1.171,NaN,NaN
2012-04-17,1.296,1.297,0.88,0.914,NaN,NaN
2012-04-18,1.431,1.782,1.147,1.215,NaN,NaN
2012-04-19,0.517,1.199,0.517,1.148,NaN,NaN
2012-04-20,0.458,0.891,0.432,0.891,NaN,NaN
2012-04-23,0.654,0.948,0.605,0.857,NaN,NaN
2012-04-24,0.992,1.514,0.976,1.107,NaN,NaN
2012-04-25,1.003,1.066,0.658,1.034,NaN,NaN
2012-04-26,0.846,0.846,0.439,0.789,NaN,NaN
2012-04-27,0.949,1.925,0.949,1.025,NaN,NaN
2012-04-30,1.506,1.541,0.648,0.888,NaN,NaN
2012-05-01,0.936,2.304,0.618,1.082,NaN,NaN
2012-05-02,0.659,1.156,0.584,0.958,NaN,NaN
2012-05-03,1.646,1.646,0.629,0.861,NaN,NaN
2012-05-04,0.959,1.445,0.749,1.079,NaN,NaN
2012-05-07,0.886,1,0.716,0.832,NaN,NaN
2012-05-08,0.976,1.596,0.943,1.233,NaN,NaN
2012-05-09,2.036,2.271,1.088,1.118,NaN,NaN
2012-05-10,0.967,1.428,0.907,1.175,NaN,NaN
2012-05-11,2.624,2.624,1.403,1.441,NaN,NaN
2012-05-14,0.886,1.41,0.886,1.355,NaN,NaN
